a	art.一，一个，任何一个;同一的;像…的;某一个 pre.每;n英文字母第一个
providence is always on the side of big battalions	n上帝总站在拥有优势兵力的一方
provident	adj.有先见之明的;有远虑的;节俭的
providential	adj.天理的;根据神意的;天佑的
provider	n供给者;装设者;主人;养家者
province	n省;地方;领域
provincial	n乡下人;地方人民;adj.省的;地方的;偏狭的
provincialism	n乡下习气;地方风格;土腔
provincialize	v.使地方化;使带乡下气;使粗野
proving	v.求证
provision	n准备;食物;供应;v.供以…食物及必需品
provisional	adj.暂时的;暂定的;临时的
provisionality	adv.暂时性;临时性
provisioner	n粮食供应者
provisionment	n粮食供应
proviso	n但书;条件;保留
provisory	adj.有但书的;有附带条件的;暂时的
provitamin	n维他命源
provocation	n激怒;刺激;挑拨
provocative	n刺激物;挑拨物;兴奋剂;adj.气人的;挑拨的;刺激的
provoke	v.激怒;惹起;驱使
provoking	adj.令人生气的;使人愤怒的;难熬的
provost	n负责校政人员;主监督;牧师
prow	n船首;船首状物;机首;adj.勇敢的;刚勇的
prowess	n英勇;勇敢;超凡技术
prowl	n潜行;徘徊;悄悄踱步;v.潜行以觅食;窥伺;排徊
prowler	n徘徊者;闯空门的小偷;小偷
proximal	adj.近位的;基部的;近身体中央的
proximate	adj.最近的;紧邻的;近似的
proximity	n接近;亲近
proxy	n代理;代理人;取代物
prude	n装成规矩的女人;过份正经;谦虚的女人
prudence	n审慎;慎重;精心明辨
prudent	adj.审慎的;三思而後行的;精心明辨的
prudential	adj.谨慎的;细心的;明辨的
prudery	n装规矩;假正经的行为
prudish	adj.装淑女样子的;装规矩的;过份规矩的
prune	n乾梅子;梅乾;v.修剪;砍掉;删除
pruning	n修剪;修枝;剪枝
prurient	adj.淫乱的;好色的;热望的
prurigo	n痒疹
pruritic	adj.搔痒症
pruritus	n搔痒症
prussia	n普鲁士
prussian	n普鲁士人;普鲁士语;adj.普鲁士的;普鲁士语的;普鲁士式的
prussiate	n氢酸盐
pry	n杠杆;v.打听;窥探;用杠杆撬开
pryer	n窥看者;探问者;追根究底的人
prying	adj.爱打听的
psalm	n圣诗;圣歌;诗篇
psalmist	n赞美诗作者;诗篇作者
psalmodic	adj.唱圣歌的;吟唱诗篇的;圣诗的
psalmodist	n唱圣歌的人;赞美诗作者
psalmody	n圣歌吟唱;赞美诗;赞美诗集
psalter	n诗篇;诗篇集
psaltery	n古代弦乐器
psephology	n选举学
pseudo	adj.假的;冒充的
pseudocarp	n假果
pseudoclassicism	n拟古典主义;拟古体
pseudocode	n假码
pseudograph	n伪书;伪作;伪笔
pseudoinstruction	n假说明
pseudomyopia	n假性近视
pseudonym	n匿名;假名;笔名
pseudonymity	n匿名之使用
pseudonymous	adj.匿名的;使用笔名的
pseudopod	n假足;虚足
pseudopodium	n假足;虚足
pseudoprogram	n假程式
pseudorandom	n假散乱
pseudoscience	n假科学;伪科学
pseudoscope	n反影镜
pseudosteres	n假立体声
pshaw	n同上叫牲;int.表示不耐烦;轻蔑时的叫牲;v.叫 pshaw;不耐烦地应酬
psi	n希腊文字母的第 23 字;磅;平方寸
psilocybin	n采自蘑菰的一种迷幻药
psittacosis	n鹦鹉病
psst	int.为引起人的注意时所发的声音
psyche	n[P-]赛克;灵魂;精神
psychedelic	n迷幻剂;adj.引起幻觉的;幻觉的;幻觉调的
psychiatrist	n精神病医师;精神病学家
psychiatry	n精神病学;精神病治疗法
psychic	n巫女;灵媒;心灵研究;adj.灵魂的;精神的;心灵的
psycho	n心理分析;精神神经病患者;adj.精神病学的;精神神经病症的;v.心理分析
psychoanalysis	n心理分析
psychoanalyst	n心理分析学者
psychoanalyze	v.心理分析
psychobiology	n精神生物学
psychodrama	n心理剧
psychodynamics	n精神力学
psychogenesis	n心理发生
psychograph	n心理描绘图
psychokinesis	n意志力
psychological	psychological
psychologism	n心理主义
psychologist	n心理学者
psychologize	v.作心理学上的说明
psychology	n心理学;心理状态
psychometry	n心理测定学;神秘力
psychomotor	adj.精神运动的
psychoneurosis	n精神神经病
psychopath	n精神病患者
psychopathic	adj.精神病的;精神错乱的;要发疯似的
psychopathology	n精神病理学
psychopathy	n精神病;精神错乱;精神疗法
psychophysics	n精神物理学
psychosis	n精神病;精神不正常;精神状态
psychosomatic	adj.受心理影响的;经神身体相关的
psychotherapist	n精神治疗医师
psychotherapy	n精神疗法;心理疗法
psychotic	adj.精神病的
psychrometer	n乾湿球湿度计;乾湿计
psychrophilic	adj.喜爱寒带地方的;好寒性的
ptarmigan	n松鸡类
pte	n私人
pteridology	n羊齿植物学
pteridophyte	n羊齿类
pterodactyl	n翼龙
pterosaur	n翼龙
pterygoid	adj.翼状的
ptosis	n下垂症
ptyalin	n唾液素
pub	n酒馆
pubcrawl	v.逛酒店喝酒
puberty	n思春期;春情发动期;妙龄
pubes	n阴毛;阴部;软毛
pubescence	n到达思春期;软毛
pubescent	adj.妙龄的;思春期的;有软毛的
pubic	adj.阴毛的;阴部的;耻骨的
pubis	n耻骨
public	n公众;民众;adj.公众的;公共的;公立的
publican	n酒馆老板或经理;古罗马收税人
publication	n出版;公布;出版物
public communication	n大众传播
public house	n酒吧
publicist	n国际法学家;政治评论家;政治记者
publicity	n公开;人尽皆知;宣传
publicize	v.宣传;公布;广告
publicly	adv.公然地;舆论上;[罕]以公费
public security	n公安;公共安全
publicspirited	adj.有公德心的;有爱国心的
publish	v.出版;发行;公开
publisher	n出版者;发行人
pubol castle	n普柏堡
puce	n深褐色
puck	n巴克;恶作剧的小妖精;淘气小孩
pud	n手;前脚
pudding	n布丁
puddingy	adj.像布丁的
puddle	n水池;地上积水;胶泥;v.搅浊;在泥污中打滚;排尿
puddler	n捣泥者;搅拌器;炼铁器
puddling	n制窑泥;窑泥;炼铁
puddly	adj.多水坑的;像水坑的;泥浊的
pudency	n羞怯;害羞
pudge	n矮胖的人
pudgy	adj.矮胖的;膨松的
puerile	adj.孩子气的;天真的;未成熟的
puerperium	n产後期
puff	n一阵喷烟;粉扑;泡夫;v.喷出;张开;夸张
puffball	n尘菌;羽状实
puffer	n吹气的人;吹嘘的人;做凸出花纹的人
puffery	n极力称赞;夸大广告
puffin	n海鸭之类
puffpuff	n烟等喷出的声音;汽车;火车头
puffy	adj.胀大的;肥满的;喘气的
pugilism	n拳击
pugilist	n拳击家
pugilistic	adj.拳击的;拳击家的
pugnacious	adj.好斗的
pugnacity	n好斗
pugnosed	adj.狮子鼻的
puissance	n力;势;权力
puissant	adj.强力的;强盛的;有权力的
puke	n呕吐;呕吐物;吐剂;v.吐;吐出;呕吐
pulchritude	n美丽
pule	v.叫声;低声啜泣;低声哭泣
pull	n拉;v.拉;拖;拔
pullback	n拉回;障碍;阻扰
pulldown	adj.折叠式的
puller	n拉的人;划手
pullerin	n招待员
pullet	n小母鸡
pulley	n滑车;滑轮;带轮
pullicate	n染色手巾
pullin	n开车进入用餐的餐厅
pullman	n卧车;普式火车
pullover	n绒线上;衬衣之一种
pullthrough	n擦枪筒用的带绳刷子
pullulate	v.发芽;抽芽;成长
pulmonary	adj.肺的;与肺有关的;有肺的
pulmonate	n有肺类的动物;adj.有肺的;有肺类的
pulmonic	n肺病患者;adj.肺的;肺炎的
pulmotor	n人工呼吸器;其商标名
pulp	n果肉;纸浆;v.化成纸浆;除去…果肉;制成纸浆
pulpify	v.化成纸浆;变成泥状
pulpiness	n纸浆质;果肉性
pulpit	n讲道坛
pulpiteer	n传教师;讲道者
pulpwood	n纸浆用木材
pulpy	adj.果肉状的;纸浆状的;泥状的
pulque	n龙舌兰酒
pulsar	n电波球体
pulsate	v.搏动;悸动;有规律的鼓动
pulsatile	adj.脉动的;悸动的;跳动的
pulsation	n脉博;悸动;震动
pulsator	n震动器;搅拌器;圆形泵
pulse	n脉冲;脉波;脉搏;v.跳动;脉跳
pulseless	adj.无脉动的;无生气的
pulsemeter	n圆形泵;气压扬水机
pulse packs	n脉冲包装
pulser	n脉冲袋成脉器
pulses	n脉冲;脉博;脉波
pulsimeter	n脉博计
pulsometer	n排气唧筒;真空唧筒
pulverizatio	n磨粉;粉碎
pulverization	n粉碎;弄成粉
pulverize	adj.粉碎;磨粉;v.粉碎;磨成粉
pulverizer	n粉碎机;喷雾器;粉碎者
pulverulent	adj.粉状的;脆的;有粉盖上的
puma	n美洲狮;美洲狮的毛皮
pumiceous	adj.轻石的;像轻石的;轻石质的
pummel	v.用拳头打
pump	n抽水机;打气筒;泵;v.用唧筒抽水;打气;盘问
pumper	n使用唧筒者;唧筒式抽水机;消防车
pumping	n抽泵
pumpkin	n南瓜
pumpkin head	n呆头
pumpship	n小便
pun	n双关语;俏皮话;押韵;v.说双关语;说俏皮话
punch	n打洞器;钻孔机;殴打;v.以拳重击;开洞;剪票
punchboard	n赌博机械的一种
punchdrunk	adj.头昏眼花的;东倒西歪的;模糊不清的
puncher	n冲床
punchinello	n丑角;矮胖子
punching bag	n(拳击用的)吊袋
punchings	n冲屑
punctate	adj.有小斑点的
punctilio	n细节;拘泥形式;拘束
punctilious	adj.精密细心的;一丝苟的;拘泥形式的
punctual	adj.准时的;弄时的
punctuality	n严守时间;正确;规矩
punctuate	v.加标点符号;加重;打断
punctuation	n标点;标长位元
puncture	n破坏
pundit	n学者;梵学者;博学的人
pundulum	n摆子
pung	n箱型雪撬
pungency	n苦痛;辛辣;刺激
pungent	adj.苦痛的;刺激性的;严厉的
punic	adj.迦太基人的;反覆无常的;没有信义的
punily	adv.微小的;不足取的
puniness	n微小;弱小
punish	v.处罚;惩罚;严厉对待
punishable	adj.该罚的;可罚的
punisher	n处罚者;惩罚者
punishment	n处罚;刑罚;惩罚
punitive	adj.刑罚的;惩罚的
punjab	n印度西北部的一地方
punjabi	nPunjab 语;adj.Panjab 的
punkie	n蚊的一种
punnet	n薄木片制扁篮
punster	n喜欢说双关语的人;爱说俏皮话的人
punt	n平底船;撑船;球未落地前踢出
punter	n用篙撑船的人;船夫
punty	n铁棒
puny	adj.微小的;不足取的
pup	n学生;幼兽;小狗;自负的年轻人;v.生(小狗)
pupa	n蛹
pupal	adj.蛹的
pupil	n学生
pupiparous	adj.产蛹的
puppet	n傀儡;木偶
puppeteer	n操纵木偶的人;操纵傀儡
puppetry	n木偶;哑剧;虚饰
puppet state	n傀儡国家
puppy	n小狗;小动物
purbeck	n英国 Dorset 州的半岛
purblind	adj.半盲的;惺松眼的;愚钝的
purchasable	adj.可买的;可收买的
purchase	n购买;购买品;价值;v.购买;努力取得
purchased	v.购买
purchase order	n采购单
purchaser	n买方;购买者
purchasing	v.购买;获得
purdah	n窗帘;帷幕;妇人避人耳目不出的习惯
pure	adj.纯粹的;纯洁的;完全的
purebred	adj.纯血统的;n纯血统的动物
purely	adv.纯粹地;清洁地;贞淑地
pureness	n清洁;清净;纯粹
purgation	n清洁;净化;通便
purgative	n泻剂;adj.净化的;通便的;证明自己无罪的
purgatorial	adj.炼狱的;涤罪的
purgatory	n灵魂的净化;涤罪;炼狱;adj.涤罪的
purge	n整肃;清除;泻药;v.清除;泻;整肃
purged	v.清净;使…无罪;用泻药;排除
purgee	n被放逐者
purger	n使清净的人;肃清者;泻药
purificator	n圣杯的抹布
purificatory	adj.净化的;涤罪的;精制的
purifier	n清洁者;制造者;净化器
purifiers	n净化器;净化剂
purify	v.使…洁净;净化;清除
purist	n纯化论者
puritan	n清教徒;adj.清教徒的
puritanism	n清教;清教主义;严正主义
puritanize	v.使成清教徒;像清教徒般地行动;使举止严谨
purite	n碳酸钠
purity	n纯净;纯正;纯粹
purler	n倒落;坠落
purlieu	n势力范围;周围;近郊;森林周围之空地
purloin	v.盗取
puromycin	n抗生素之一种
purple	nadj.紫色(的)
purport	n意义;要旨;大要;v.意味着;做为…要旨;要领是…
purpose	n目的;意向;决心;v.意欲;企图;计画
purposeful	adj.有目的的
purposeless	adj.无目的的;无意义的;无益的
purposely	adv.故意地
purposive	adj.有目的的;故意的
purpuric	adj.紫斑的
purr	n姑噜姑噜声;v.姑噜姑噜叫;发出喉音
purse	n钱包;小钱袋
purseful	n满钱袋
purser	n事务长;主计官
pursiness	n喘气;肥胖
purslane	n马齿苋
pursuant	adj.依据的;按照的;adv.根据;依照
pursue	v.追捕;追求;继续从事
pursuer	n追赶者;追求者;研究者
pursuit	n追求;追赶;工作
pursuivant	n纹章院官员;随从
purtenance	n内脏
purulent	adj.脓的;化脓性的;化脓的
purvey	v.供给;供应
purveyance	n供给;供应;粮食
purveyor	n承办商;承办商人;粮食徵购商
purview	n范围;权限;视界
pus	n脓;脓汁
puseyism	n蒲赛主义
puseyite	nPuseyism 的信仰者
push	n推;奋力;决心;v.推;挤;逼迫
pushball	n推球;该球
pushbike	push-bike
pushbutton	adj.按钮操作的
pushcart	n手推车
pushchair	pushchair
pusher	n推者;後推;积极的推销员
pushful	adj.有精力的;富有进取心的
pushover	n闲差事;听从的人;容易打倒的对手
pushpin	n图钉
pushpull	n推挽式的
pushup	n伏地挺身
pushy	adj.强求的
pusillanimity	n无气力;胆怯
pusillanimous	adj.无气力的;胆怯的
puss	n猫;小姑娘;少女
pussy	n猫
pussycat	n猫;有毛的柔软东西
pussyfoot	v.俏俏走路;消极行事
pustular	adj.脓泡的;有小疙疸的;满是小疙疸的
pustulate	v.生脓泡
pustulation	n生脓泡
pustule	n脓泡
put	v.放;安置
putamen	n内果皮;核;硬膜
put an end to	v.终止
putative	adj.想像的;推定的;传说的
put down	n令人难堪的言语或行动
put off	n遁辞;推诿;延期
put on	n做作的;假装的
put on air	v.装腔作势
put out	n刺杀;使出局
put put	n砰砰声;小汽船;机车
putrefaction	n腐败;腐败物
putrefactive	adj.腐败的;易腐败的;使腐败的
putrefy	v.使…化脓;使…腐败;使…腐烂
putrescence	n腐败
putrescent	adj.将腐烂的;腐败的
putrid	adj.腐败的;放出恶臭;讨人厌的
putridity	n腐败
putt	nv.轻打
puttee	n布绑腿;皮绑腿
putter	n置放者;新进的矿工;推棒;v.无精打釆地工作;漫步;骚动
putty	n油灰;玻璃;金属等的磨粉;v.用油灰接合
put up	adj.密谋的;捏造的
puzzle	n难题;迷惑;v.使…困惑;为难
puzzled	v.困惑
puzzlement	n迷惑
puzzler	n使困惑的人;难题
